brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
21302,SAPROPTERIN,   تجويز توسط پزشك متخصص<br> يا    تجويز توسط پزشك متخصص با سهم سازمان 97.4 درصد ,TAB,100 mg,1143992,1588728,99.258,2.6%, ,456608,1600600,97.4%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,66395,21302,
1120,SECRETIN,   تجويز توسط پزشك متخصص,INJ,100 u,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1121,SELEGILIN,,TAB,5 mg,3190,4765,87.591, , ,2250,5440,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,62406,,
3538,SENA-GRAPH,,SYRUP,60ML,,36400,70%, , ,52000,52000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
1967,SENA-LAX,,TAB 25,25,,1120,70%, , ,1600,1600,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
5398,SENA-LAX,,TAB 30,30,,653,70%, , ,933,933,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
1839,SENAGOL,,SYRUP,60ML,,42000,70%, , ,60000,60000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
1784,SENALINE,,TAB 7.5,7/5,,1586,70%, , ,2266,2266,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
1896,SERTRALIN HCL, توليد داخل,TAB,50MG,5200,8658,85.384, , ,4940,10140,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63042,,
1897,SERTRALIN HCL, توليد داخل,TAB,100MG,7500,12750,85, , ,7500,15000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63049,,
66661,SET OF SERUM,, ,,,59500,70%, , ,85000,85000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
4000,SEVELAMER,   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد  <br>يا  داروهاي تخصصي بيماران خاص در صندوق دياليزي   تجويز توسط پزشك متخصص<br> يا  داروهاي تخصصي بيماران خاص در صندوق دياليز صفاقي   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد ,TAB,800 mg,46509,"          71,079
          73,809","100
96.301", , ,27300,73809,"100%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت",,,63928,,
60450,SHOHL S SOLUTION,   تجويز توسط پزشك متخصص,BULK,,,812,70%,20%, ,1161,1161,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1126,SILVER  NITRATE,,BULK,,,6300,70%, , ,9000,9000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1128,SILVER  SULFADIAZINE,,TOP  CREAM,10 mg/g    (500 g),1070000,1700000,86.294, , ,900000,1970000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,66432,21719,
1130,SILVER  SULFADIAZINE,,TOP  CREAM,10 mg/g    (50 g),137500,316280,80.498, , ,255400,392900,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,62410,1130,
51943,SIMPLE  EYE  OINT, بيش از 0 سال  کمتر از 12 سال ,OPHTH  OINT,,0,5600,70, , ,8000,8000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67927,51943,
60120,SIMPLE  SYRUP,,BULK,,,49,70%, , ,70,70,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1673,SIMVASTATIN,,SCORED  TAB,20 mg,2392,4777,82.372, , ,3408,5800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,62835,,
2458,SIMVASTATIN,,TAB,10 mg,,770,70%, , ,1100,1100,70%,"مددجويان کميته امداد
,بهزيستي",,,63788,,
4022,SIROLIMUS, داروهاي تخصصي بيماران خاص در صندوق پيوند کليه   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد  <br>يا  پرونده اي   تجويز توسط پزشك متخصص پيوندي و اتوايميون با سهم سازمان 90.9 درصد ,TAB,1mg,541000,"         664,624
         677,000","100
98.171",4.1%, ,136000,677000,"100%
90.9%","مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67928,4022,
1674,SODIUM  AMINOSALICYLATE,,COATED  TAB,500 mg,,1400,70%, , ,2000,2000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1934,SODIUM  BENZOATE, پرونده اي   تجويز توسط پزشك متخصص با سهم سازمان 95 درصد ,AMP,2g /10 ml,1805559,2177009,99.109, , ,391000,2196559,95%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67929,1934,
60440,SODIUM  BENZOATE  SOLUTION 10%,   تجويز توسط پزشك متخصص,BULK,,,24,70%, , ,35,35,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60500,SODIUM  BENZOATE  SOLUTION 20%,   تجويز توسط پزشك متخصص,BULK,,,31,70%, , ,45,45,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1138,SODIUM  BICARBONATE, قيمت به گرم ميباشد,BULK,,,14,70%, , ,20,20,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1140,SODIUM  BICARBONATE,,INFU,7.5%    (50 ml),106000,233509,81.035, , ,182156,288156,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,روستايي
,نياز به کد اصالت دارو",,,66116,17833,
2353,SODIUM  BICARBONATE,,INFU,8.4%    (100 ml),,32900,70%, , ,47000,47000,70%,"مددجويان کميته امداد
,بهزيستي",,,60375,,
7334,SODIUM  BICARBONATE,,INJ,8.4%    (10 ml),46450,112005,79.946, , ,93650,140100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,60375,51939,
7601,SODIUM  BICARBONATE,,INJ,8.4%    (50 ml),,147140,70%, , ,210200,210200,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,64892,7601,
99995,SODIUM  BICARBONATE,,INJ,8.4%20 ml,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1675,SODIUM  CELLULOSE  PHOSPHATE,,POWDER,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1110,SODIUM  CHLORIDE,,OPHTH  OINT,5%,7980,68964,72.517, , ,87120,95100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67936,,
1141,SODIUM  CHLORIDE,,INFU,0.9%    (1000 ml),53300,230680,75.213, , ,253400,306700,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي
,نياز به کد اصالت دارو",,,62425,,
1142,SODIUM  CHLORIDE, بيش از 0 سال  کمتر از 12 سال ,IRRIGATION,0.9%    (1000 ml),53300,230680,75.213, , ,253400,306700,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,نياز به کد اصالت دارو",,,62427,,
1143,SODIUM  CHLORIDE, بيش از 0 سال  کمتر از 12 سال ,IRRIGATION,0.9%    (3000 ml),109300,555410,74.391, , ,637300,746600,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,62429,,
1144,SODIUM  CHLORIDE,,INFU,0.9%    (500 ml),34500,163090,74.743, , ,183700,218200,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي
,نياز به کد اصالت دارو",,,62430,,
1145,SODIUM  CHLORIDE, بيش از 0 سال  کمتر از 12 سال ,IRRIGATION,0.9%    (500 ml),52800,155560,77.935, , ,146800,199600,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي
,نياز به کد اصالت دارو",,,,,
1146,SODIUM  CHLORIDE, بيش از 0 سال  کمتر از 12 سال ,NASAL  DROP,0/65%,51900,76400,87.917, , ,35000,86900,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,62433,,
1147,SODIUM  CHLORIDE,,DROP  OPTH,5%,11887,78466,73.332, , ,95113,107000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67935,,
1148,SODIUM  CHLORIDE,,VIAL,5%    (50 ml),25229,135108,74.154, , ,156970,182199,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
1150,SODIUM  CHLORIDE,,BULK,,,42,70%, , ,60,60,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2459,SODIUM  CHLORIDE,,INFU,0.9%    (100 ml),29400,98000,76.923, , ,98000,127400,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,65610,,
4866,SODIUM  CHLORIDE,,INFU,0.9%    (1000 ml)-bag,,22400,70%, , ,32000,32000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,62425,,
5454,SODIUM  CHLORIDE, بيش از 0 سال  کمتر از 12 سال ,IRRIGATION,0.9%    (1000 ml)-bag,,20300,70%, , ,29000,29000,70%,"مددجويان کميته امداد
,بهزيستي",,,62427,,
5455,SODIUM  CHLORIDE, بيش از 0 سال  کمتر از 12 سال ,IRRIGATION,0.9%    (500 ml)-bag,,16800,70%, , ,24000,24000,70%,"مددجويان کميته امداد
,بهزيستي",,,62431,,
6417,SODIUM  CHLORIDE,,INFU,0.9%    (250 ml),35500,94370,78.904, , ,84100,119600,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,مامايي
,نياز به کد اصالت دارو",,,,,
8988,SODIUM  CHLORIDE,,INFU,0.9%    (10 ml),,7000,70%, , ,10000,10000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
60430,SODIUM  CHLORIDE,,BULK,0.9%,,42,70%, , ,60,60,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
99954,SODIUM  CHLORIDE,,VIAL,5%    (500 ml),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
13016,SODIUM  CHLORIDE,,INFU,0.9%    (100 ml),29400,136360,74.84, , ,152800,182200,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,65610,13016,
1149,SODIUM  CHLORIDE  (1/2 NORMAL SALINE), توليد داخل,INFU,0.45%    (1000 ml),53300,225990,75.33, , ,246700,300000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,مامايي
,نياز به کد اصالت دارو",,,,,
2186,SODIUM  CHLORIDE  (1/2 NORMAL SALINE), توليد داخل,INFU,0.45%    (500 ml),34500,150070,75.185, , ,165100,199600,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,مامايي
,نياز به کد اصالت دارو",,,,,
5267,SODIUM  CHLORIDE  (1/2 NORMAL SALINE), توليد داخل,INFU,0.45%    (1000 ml)-bag,,31080,70%, , ,44400,44400,70%,"مددجويان کميته امداد
,بهزيستي",,,62437,,
5268,SODIUM  CHLORIDE  (1/2 NORMAL SALINE), توليد داخل,INFU,0.45%    (500 ml)-bag,,28280,70%, , ,40400,40400,70%,"مددجويان کميته امداد
,بهزيستي",,,63520,,
1151,SODIUM  CITRATE,,BULK,,,2100,70%, , ,3000,3000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
14109,SODIUM  GLYCEROPHOSPHATE,   تجويز توسط پزشك متخصص,INJ,,117000,766600,73.358, , ,928000,1045000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,14109,
1676,SODIUM  HYALURONATE, بيمارستاني   تجويز توسط پزشك متخصص,INTRAOCCULAR  INJ,1%,,103950,70%, , ,148500,148500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1677,SODIUM  HYPOCHLORITE, توليد داخل,SOL,0.55%(available chloride),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60140,SODIUM  HYPOSULPHITE,,BULK,,,504,70%, , ,720,720,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1678,SODIUM  LACTATE, بيمارستاني,INJ,1.6 molar,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1679,SODIUM  NITRITE, بيمارستاني,INJ,300 mg/10 ml,,5320000,70%, , ,7600000,7600000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,1679,
